SignalType,Xsections,N_orig,Group,CustomJson,EOSDirectory
LQToCMu_M-200_,60.6,50000,LQuujj200,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-250_,20.3,48352,LQuujj250,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-300_,8.04,49307,LQuujj300,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-350_,3.59,50000,LQuujj350,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-400_,1.74,50000,LQuujj400,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-450_,.906,50000,LQuujj450,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-500_,.496,50000,LQuujj500,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-550_,.284,50000,LQuujj550,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-600_,.169,50000,LQuujj500,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-650_,.103,50000,LQuujj650,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-700_,.0648,47954,LQuujj700,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-750_,.0416,49163,LQuujj750,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-800_,.0273,50000,LQuujj800,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-850_,.0182,48906,LQuujj850,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-900_,.0123,50000,LQuujj900,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-950_,.00845,50000,LQuujj950,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1000_,.00586,50000,LQuujj1000,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1050_,.00411,48569,LQuujj1050,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1100_,.00291,50000,LQuujj1100,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1150_,.00208,46916,LQuujj1150,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1200_,.00150,49742,LQuujj1200,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1250_,.00109,49072,LQuujj1250,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1300_,.000795,49543,LQuujj1300,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1350_,.000585,48560,LQuujj1350,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1400_,.000433,50000,LQuujj1400,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1450_,.000321,50000,LQuujj1450,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1500_,.000240,49599,LQuujj1500,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1550_,.000180,49400,LQuujj1550,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1600_,.000135,48725,LQuujj1600,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1650_,.000102,50000,LQuujj1650,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1700_,.0000774,50000,LQuujj1700,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1750_,.0000588,50000,LQuujj1750,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1800_,.0000448,50000,LQuujj1800,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1850_,.0000343,47520,LQuujj1850,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1900_,.0000262,47402,LQuujj1900,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-1950_,.0000201,50000,LQuujj1190,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
LQToCMu_M-2000_,.0000155,49768,LQuujj2000,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaOne_20150702/
