SignalType,Xsections,N_orig,Group,CustomJson,EOSDirectory
LQToCMu_MuNuJJFilter_M-200_,30.3,47941,LQuvjj200,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-250_,10.15,49666,LQuvjj250,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-300_,4.02,49726,LQuvjj300,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-350_,1.795,49989,LQuvjj350,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-400_,.87,49974,LQuvjj400,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-450_,.453,47443,LQuvjj450,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-500_,.248,47343,LQuvjj500,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-550_,.142,49711,LQuvjj550,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-600_,.0845,49633,LQuvjj500,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-650_,.0515,49855,LQuvjj650,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-700_,.0324,50030,LQuvjj700,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-750_,.0208,49463,LQuvjj750,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-800_,.01365,49692,LQuvjj800,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-850_,.0091,49038,LQuvjj850,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-900_,.00615,49607,LQuvjj900,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-950_,.004225,49592,LQuvjj950,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1000_,.00293,50161,LQuvjj1000,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1050_,.002055,46843,LQuvjj1050,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1100_,.001455,50073,LQuvjj1100,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1150_,.00104,49958,LQuvjj1150,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1200_,.00075,45096,LQuvjj1200,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1250_,.000545,49904,LQuvjj1250,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1300_,.0003975,49679,LQuvjj1300,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1350_,.0002925,49512,LQuvjj1350,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1400_,.0002165,50099,LQuvjj1400,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1450_,.0001605,49819,LQuvjj1450,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1500_,.00012,49218,LQuvjj1500,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1550_,.00009,49612,LQuvjj1550,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1600_,.0000675,49958,LQuvjj1600,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1650_,.000051,46251,LQuvjj1650,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1700_,.0000387,50022,LQuvjj1700,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1750_,.0000294,49879,LQuvjj1750,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1800_,.0000224,49075,LQuvjj1800,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1850_,.00001715,47310,LQuvjj1850,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1900_,.0000131,49365,LQuvjj1900,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-1950_,.00001005,48926,LQuvjj1190,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
LQToCMu_MuNuJJFilter_M-2000_,.00000775,49276,LQuvjj2000,0,/store/user/dmorse/LQ/RootNtuple-Spring15MC_LQToCMu_BetaHalf_20150702/
