"M = 300 GeV, LQToUE_Single_L-0p2_M-300_GeV_8TeV",256.6
"M = 400 GeV, LQToUE_Single_L-0p2_M-400_GeV_8TeV",71.25
"M = 500 GeV, LQToUE_Single_L-0p2_M-500_GeV_8TeV",24.77
"M = 600 GeV, LQToUE_Single_L-0p2_M-600_GeV_8TeV",9.97
"M = 700 GeV, LQToUE_Single_L-0p2_M-700_GeV_8TeV",4.43
"M = 800 GeV, LQToUE_Single_L-0p2_M-800_GeV_8TeV",2.13
"M = 900 GeV, LQToUE_Single_L-0p2_M-900_GeV_8TeV",1.08
"M = 1000 GeV, LQToUE_Single_L-0p2_M-1000_GeV_8TeV",0.57
"M = 1100 GeV, LQToUE_Single_L-0p2_M-1100_GeV_8TeV",0.32
"M = 1200 GeV, LQToUE_Single_L-0p2_M-1200_GeV_8TeV",0.18
"M = 1300 GeV, LQToUE_Single_L-0p2_M-1300_GeV_8TeV",0.11
"M = 1400 GeV, LQToUE_Single_L-0p2_M-1400_GeV_8TeV",0.06
"M = 1500 GeV, LQToUE_Single_L-0p2_M-1500_GeV_8TeV",0.04
"M = 1600 GeV, LQToUE_Single_L-0p2_M-1600_GeV_8TeV",0.02
"M = 1700 GeV, LQToUE_Single_L-0p2_M-1700_GeV_8TeV",0.02
"M = 1800 GeV, LQToUE_Single_L-0p2_M-1800_GeV_8TeV",0.01
"M = 300 GeV, LQToUE_Single_L-0p4_M-300_GeV_8TeV",1040
"M = 400 GeV, LQToUE_Single_L-0p4_M-400_GeV_8TeV",290.7
"M = 500 GeV, LQToUE_Single_L-0p4_M-500_GeV_8TeV",101.8
"M = 600 GeV, LQToUE_Single_L-0p4_M-600_GeV_8TeV",41.29
"M = 700 GeV, LQToUE_Single_L-0p4_M-700_GeV_8TeV",18.61
"M = 800 GeV, LQToUE_Single_L-0p4_M-800_GeV_8TeV",9.04
"M = 900 GeV, LQToUE_Single_L-0p4_M-900_GeV_8TeV",4.67
"M = 1000 GeV, LQToUE_Single_L-0p4_M-1000_GeV_8TeV",2.54
"M = 1100 GeV, LQToUE_Single_L-0p4_M-1100_GeV_8TeV",1.44
"M = 1200 GeV, LQToUE_Single_L-0p4_M-1200_GeV_8TeV",0.84
"M = 1300 GeV, LQToUE_Single_L-0p4_M-1300_GeV_8TeV",0.51
"M = 1400 GeV, LQToUE_Single_L-0p4_M-1400_GeV_8TeV",0.32
"M = 1500 GeV, LQToUE_Single_L-0p4_M-1500_GeV_8TeV",0.21
"M = 1600 GeV, LQToUE_Single_L-0p4_M-1600_GeV_8TeV",0.14
"M = 1700 GeV, LQToUE_Single_L-0p4_M-1700_GeV_8TeV",0.09
"M = 1800 GeV, LQToUE_Single_L-0p4_M-1800_GeV_8TeV",0.06
"M = 300 GeV, LQToUE_Single_L-0p6_M-300_GeV_8TeV",2391
"M = 400 GeV, LQToUE_Single_L-0p6_M-400_GeV_8TeV",675.2
"M = 500 GeV, LQToUE_Single_L-0p6_M-500_GeV_8TeV",239.4
"M = 600 GeV, LQToUE_Single_L-0p6_M-600_GeV_8TeV",98.43
"M = 700 GeV, LQToUE_Single_L-0p6_M-700_GeV_8TeV",45.06
"M = 800 GeV, LQToUE_Single_L-0p6_M-800_GeV_8TeV",22.31
"M = 900 GeV, LQToUE_Single_L-0p6_M-900_GeV_8TeV",11.79
"M = 1000 GeV, LQToUE_Single_L-0p6_M-1000_GeV_8TeV",6.57
"M = 1100 GeV, LQToUE_Single_L-0p6_M-1100_GeV_8TeV",3.85
"M = 1200 GeV, LQToUE_Single_L-0p6_M-1200_GeV_8TeV",2.34
"M = 1300 GeV, LQToUE_Single_L-0p6_M-1300_GeV_8TeV",1.48
"M = 1400 GeV, LQToUE_Single_L-0p6_M-1400_GeV_8TeV",0.97
"M = 1500 GeV, LQToUE_Single_L-0p6_M-1500_GeV_8TeV",0.65
"M = 1600 GeV, LQToUE_Single_L-0p6_M-1600_GeV_8TeV",0.45
