SignalType,Xsections,N_orig,Group,SigOrBG,MassOfLQ,HTRemoveIfGreater,EOSDirectory
TTJets_FullLeptMGDecays,26.18,4246444,TTBarDBin,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_TTJets_FullLeptMGDecays_20130215_194721/
TTJets_HadronicMGDecays,104.1,10537444,TTBarDBin,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_TTJets_HadronicMGDecays_20130215_204147/
TTJets_SemiLeptMGDecays,103.71,11229902,TTBarDBin,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_TTJets_SemiLeptMGDecays_20130215_195152/
DY0JetsToLL,2534.380522,30459503,ZJetsJBin,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple_skim/eberry/RootNtuple-V00-03-11-Summer12MC_DY0JetsToLL_MG_rename/
DY1JetsToLL,666.2997,24045248,ZJetsJBin,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_DYNJetsToLL_MG_20130215_230723/
DY2JetsToLL,214.9737,21852156,ZJetsJBin,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_DY2JetsToLL_MG_20130215_234732/
DY3JetsToLL,60.69147,11064401,ZJetsJBin,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_DYNJetsToLL_MG_20130215_230723/
DY4JetsToLL,27.364608,6402827,ZJetsJBin,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_DYNJetsToLL_MG_20130215_230723/
W0JetsToLNu,26855.1459,18270471,WJetsJBin,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple_skim/eberry/RootNtuple-V00-03-11-Summer12MC_W0JetsToLNu_MG_rename/
W1JetsToLNu,6440.58,36917694,WJetsJBin,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_WNJetsToLNu_MG_20130215_231134/
W2JetsToLNu,2087.225,35482366,WJetsJBin,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_WNJetsToLNu_MG_20130215_231134/
W3JetsToLNu,619.0113,20801912,WJetsJBin,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_WNJetsToLNu_MG_20130215_231134/
W4JetsToLNu,255.2378,13605848,WJetsJBin,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_WNJetsToLNu_MG_20130215_231134/
WW_TuneZ2star,54.838,10000431,DiBoson,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_DiBoson_PYTHIA_20130215_231443/
WZ_TuneZ2star,33.21,10000283,DiBoson,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_DiBoson_PYTHIA_20130215_231443/
ZZ_TuneZ2star,17.654,9799908,DiBoson,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_DiBoson_PYTHIA_20130215_231443/
T_s-channel,3.79,259961,SingleTop,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_SingleTop_MG_20130215_190208/
T_t-channel,56.4,23777,SingleTop,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_SingleTop_MG_20130215_190208/
T_tW-channel,11.1,497658,SingleTop,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_SingleTop_MG_20130215_190208/
Tbar_s-channel,1.76,184758,SingleTop,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_SingleTop_MG_20130215_190208/
Tbar_t-channel,30.7,2502672,SingleTop,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_SingleTop_MG_20130215_190208/
Tbar_tW-channel,11.1,494355,SingleTop,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_SingleTop_MG_20130215_190208/
QCD_Pt-120to170,7463.94,8501935,QCDMu,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_QCD_MuEnriched_PYTHIA_20130215_205103/
QCD_Pt-15to20,2738580,1722681,QCDMu,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_QCD_MuEnriched_PYTHIA_20130215_205103/
QCD_Pt-20to30,1865500,8486904,QCDMu,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_QCD_MuEnriched_PYTHIA_20130215_205103/
QCD_Pt-30to50,806298,9560265,QCDMu,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_QCD_MuEnriched_PYTHIA_20130215_205103/
QCD_Pt-50to80,176187.6,10365230,QCDMu,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_QCD_MuEnriched_PYTHIA_20130215_205103/
QCD_Pt-80to120,40448,9238642,QCDMu,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_QCD_MuEnriched_PYTHIA_20130215_205103/
QCD_Pt-170to300,2299.75,7669947,QCDMu,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_QCD_MuEnriched_PYTHIA_20130215_205103/
QCD_Pt-300to470,151.8,7832261,QCDMu,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_QCD_MuEnriched_PYTHIA_20130215_205103/
QCD_Pt-470to600,11.8,3783069,QCDMu,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_QCD_MuEnriched_PYTHIA_20130215_205103/
QCD_Pt-600to800,2.69,4119000,QCDMu,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_QCD_MuEnriched_PYTHIA_20130215_205103/
QCD_Pt-800to1000,0.37,4107853,QCDMu,0,-1,999999999,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_QCD_MuEnriched_PYTHIA_20130215_205103/
