"M = 300 GeV, LQToUE_Single_L-0p2_M-300_GeV_8TeV",256.6,24576
"M = 400 GeV, LQToUE_Single_L-0p2_M-400_GeV_8TeV",71.25,24815
"M = 500 GeV, LQToUE_Single_L-0p2_M-500_GeV_8TeV",24.77,24885
"M = 600 GeV, LQToUE_Single_L-0p2_M-600_GeV_8TeV",9.97,24921
"M = 700 GeV, LQToUE_Single_L-0p2_M-700_GeV_8TeV",4.43,24923
"M = 800 GeV, LQToUE_Single_L-0p2_M-800_GeV_8TeV",2.13,24909
"M = 900 GeV, LQToUE_Single_L-0p2_M-900_GeV_8TeV",1.08,24897
"M = 1000 GeV, LQToUE_Single_L-0p2_M-1000_GeV_8TeV",0.57,24902
"M = 1100 GeV, LQToUE_Single_L-0p2_M-1100_GeV_8TeV",0.32,24909
"M = 1200 GeV, LQToUE_Single_L-0p2_M-1200_GeV_8TeV",0.18,24873
"M = 1300 GeV, LQToUE_Single_L-0p2_M-1300_GeV_8TeV",0.11,24869
"M = 1400 GeV, LQToUE_Single_L-0p2_M-1400_GeV_8TeV",0.06,24808
"M = 1500 GeV, LQToUE_Single_L-0p2_M-1500_GeV_8TeV",0.04,24769
"M = 1600 GeV, LQToUE_Single_L-0p2_M-1600_GeV_8TeV",0.02,23448
"M = 1700 GeV, LQToUE_Single_L-0p2_M-1700_GeV_8TeV",0.02,14900
"M = 1800 GeV, LQToUE_Single_L-0p2_M-1800_GeV_8TeV",0.01,9668
"M = 300 GeV, LQToUE_Single_L-0p4_M-300_GeV_8TeV",1040,20703
"M = 400 GeV, LQToUE_Single_L-0p4_M-400_GeV_8TeV",290.7,20568
"M = 500 GeV, LQToUE_Single_L-0p4_M-500_GeV_8TeV",101.8,20345
"M = 600 GeV, LQToUE_Single_L-0p4_M-600_GeV_8TeV",41.29,22129
"M = 700 GeV, LQToUE_Single_L-0p4_M-700_GeV_8TeV",18.61,21809
"M = 800 GeV, LQToUE_Single_L-0p4_M-800_GeV_8TeV",9.04,19443
"M = 900 GeV, LQToUE_Single_L-0p4_M-900_GeV_8TeV",4.67,20579
"M = 1000 GeV, LQToUE_Single_L-0p4_M-1000_GeV_8TeV",2.54,22525
"M = 1100 GeV, LQToUE_Single_L-0p4_M-1100_GeV_8TeV",1.44,24083
"M = 1200 GeV, LQToUE_Single_L-0p4_M-1200_GeV_8TeV",0.84,22795
"M = 1300 GeV, LQToUE_Single_L-0p4_M-1300_GeV_8TeV",0.51,23946
"M = 1400 GeV, LQToUE_Single_L-0p4_M-1400_GeV_8TeV",0.32,24156
"M = 1500 GeV, LQToUE_Single_L-0p4_M-1500_GeV_8TeV",0.21,22580
"M = 1600 GeV, LQToUE_Single_L-0p4_M-1600_GeV_8TeV",0.14,23088
"M = 1700 GeV, LQToUE_Single_L-0p4_M-1700_GeV_8TeV",0.09,22884
"M = 1800 GeV, LQToUE_Single_L-0p4_M-1800_GeV_8TeV",0.06,21676
"M = 300 GeV, LQToUE_Single_L-0p6_M-300_GeV_8TeV",2391,24462
"M = 400 GeV, LQToUE_Single_L-0p6_M-400_GeV_8TeV",675.2,24621
"M = 500 GeV, LQToUE_Single_L-0p6_M-500_GeV_8TeV",239.4,24675
"M = 600 GeV, LQToUE_Single_L-0p6_M-600_GeV_8TeV",98.43,24712
"M = 700 GeV, LQToUE_Single_L-0p6_M-700_GeV_8TeV",45.06,24605
"M = 800 GeV, LQToUE_Single_L-0p6_M-800_GeV_8TeV",22.31,24562
"M = 900 GeV, LQToUE_Single_L-0p6_M-900_GeV_8TeV",11.79,24516
"M = 1000 GeV, LQToUE_Single_L-0p6_M-1000_GeV_8TeV",6.57,24451
"M = 1100 GeV, LQToUE_Single_L-0p6_M-1100_GeV_8TeV",3.85,24365
"M = 1200 GeV, LQToUE_Single_L-0p6_M-1200_GeV_8TeV",2.34,24253
"M = 1300 GeV, LQToUE_Single_L-0p6_M-1300_GeV_8TeV",1.48,24124
"M = 1400 GeV, LQToUE_Single_L-0p6_M-1400_GeV_8TeV",0.97,24031
"M = 1500 GeV, LQToUE_Single_L-0p6_M-1500_GeV_8TeV",0.65,23919
"M = 1600 GeV, LQToUE_Single_L-0p6_M-1600_GeV_8TeV",0.45,23783
"M = 1700 GeV, LQToUE_Single_L-0p6_M-1700_GeV_8TeV",0.32,23742
"M = 1800 GeV, LQToUE_Single_L-0p6_M-1800_GeV_8TeV",0.24,23579
"M = 1900 GeV, LQToUE_Single_L-0p6_M-1900_GeV_8TeV",0.18,23477
"M = 2000 GeV, LQToUE_Single_L-0p6_M-2000_GeV_8TeV",0.14,23390
"M = 2100 GeV, LQToUE_Single_L-0p6_M-2100_GeV_8TeV",0.11,23316
"M = 2200 GeV, LQToUE_Single_L-0p6_M-2200_GeV_8TeV",0.09,23229
